book_title,book_author,publisher
Healing Emotions - Conversation with the Dalai Lama on Emotions and Health,H.H. the Dalai Lama,"['Shambhala Publications, 2003']"
Advice on Dying,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins","['Random House, London, 2002']"
Essence of the Heart Sutra,H.H. the Dalai Lama,"['Wisdom Publications, Boston, 2002']"
How to Practice,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins","['Simon & Schuster, New York, 2002']"
Illuminating the Path to Enlightenment,H.H. the Dalai Lama,"['Thubten Dhargye Ling, Long Beach, 2002']"
Pocket Dalai Lama,"H.H. the Dalai Lama, compiled and edited by Mary Craig","['Shambhala Publications, 2002']"
An Open Heart,"H.H. the Dalai Lama, edited by Nicholas Vreeland","['Little Brown and Company, New York, 2001']"
Stages of Meditation,"H.H. the Dalai Lama, translated by Geshe Lobsang Jordhen, Lobsang Choephel Ganchenpa and Jeremy Russell","['Snow Lion, Ithaca, 2001']"
"The Transformed Mind - Reflections on Truth, Love and Happiness",H.H. the Dalai Lama,"['Holder & Stoughton, 2001']"
The Meaning of Life - Bhuddhist Perspectives on Cause and Effect,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins","['Wisdom Publications, Boston, 2000']"
A Simple Path,H.H. the Dalai Lama,"['Thorson Publications, London, 2000']"
Transforming the Mind,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa, edited by Dominique Side & Dr. Thupten Jinpa","['Thorson Publications, London, 2000']"
The Little Book of Wisdom,H.H. the Dalai Lama,"['Rider, 2000']"
Dalai Lama's Book of Wisdom,"Dalai Lama, edited by Matthew Bunson","['Rider, 2000']"
"Buddha Heart, Buddha Mind - Living the Four Noble Truths",H.H. the Dalai Lama,"['Crossroad Publishing, 2000']"
Essential Teachings,H.H. the Dalai Lama,"['Souvenir Press Ltd., London, 1999']"
"Ancient Wisdom, Modern World - Ethics for a New Millennium",H.H. the Dalai Lama,"['Little Brown and Company, London, 1999']"
Consciousness at the Crossroads - Conversations with the Dalai Lama on Brain Science and Buddhism,Conversations with the Dalai Lama on Brain Science and Buddhism,"['Snow Lion Publications, Ithaca, 1999']"
